pp,video,dial,t_begin_s,t_mid_s,t_end_s,duration_s
1,7,1,56.5664,56.7169,56.8674,0.3009
1,7,6,56.9248,57.0648,57.2049,0.2801
1,7,6,57.256,57.4024,57.5487,0.2928
1,7,3,57.6146,57.7544,57.8942,0.2796
1,7,3,57.944,58.0908,58.2376,0.2935
1,7,6,58.2955,58.436,58.5766,0.2811
1,7,6,58.6338,58.7756,58.9173,0.2835
1,7,5,58.9822,59.1266,59.2711,0.2889
1,7,1,59.3293,59.4753,59.6212,0.2919
1,7,2,59.6695,59.8334,59.9973,0.3278
1,7,6,60.0537,60.1967,60.3397,0.286
1,7,5,60.3975,60.536,60.6745,0.277
1,7,6,60.7318,60.8697,61.0076,0.2758
1,7,2,61.067,61.2073,61.3476,0.2805
1,7,2,61.4011,61.5538,61.7065,0.3054
1,7,1,61.7623,61.9077,62.0532,0.2909
1,7,1,62.1048,62.2758,62.4468,0.342
1,7,4,62.4999,62.6589,62.818,0.3181
1,7,5,62.8759,63.0303,63.1848,0.309
1,7,6,63.2383,63.3839,63.5296,0.2913
1,7,3,63.5909,63.7271,63.8633,0.2725
1,7,3,63.9144,64.058,64.2016,0.2872
1,7,6,64.2595,64.3999,64.5404,0.2809
1,7,5,64.5957,64.7325,64.8693,0.2736
1,7,5,64.9224,65.0673,65.2121,0.2897
1,7,2,65.2627,65.4174,65.5722,0.3095
1,7,6,65.6294,65.7686,65.9079,0.2786
1,7,3,65.9542,66.0995,66.2448,0.2906
1,7,3,66.2995,66.4427,66.5859,0.2864
1,7,2,66.6428,66.7873,66.9318,0.289
1,7,1,66.981,67.1408,67.3006,0.3195
1,7,4,67.3554,67.502,67.6486,0.2931
1,7,5,67.703,67.8483,67.9936,0.2906
1,7,5,68.0467,68.2035,68.3602,0.3135
1,7,2,68.4172,68.5761,68.735,0.3179
1,7,1,68.7919,68.9374,69.083,0.2911
1,7,2,69.1377,69.2805,69.4234,0.2857
1,7,3,69.4743,69.6243,69.7744,0.3001
1,7,3,69.8259,69.9678,70.1098,0.2838
1,7,2,70.1682,70.3113,70.4545,0.2863
1,7,1,70.5032,70.6654,70.8275,0.3243
1,7,1,70.8789,71.0432,71.2075,0.3286
1,7,2,71.2579,71.3999,71.542,0.2841
1,7,3,71.5881,71.7378,71.8874,0.2993
1,7,3,71.9416,72.0821,72.2225,0.2809
1,7,2,72.2774,72.4215,72.5655,0.288
1,7,1,72.6211,72.7645,72.9079,0.2868
1,7,4,72.9655,73.1047,73.244,0.2785
1,7,1,73.3019,73.4456,73.5893,0.2874
1,7,3,73.6394,73.796,73.9526,0.3131
1,7,3,74.0012,74.1394,74.2775,0.2763
1,7,6,74.3357,74.475,74.6142,0.2785
1,7,2,74.6628,74.8072,74.9517,0.2889
1,7,2,75.0047,75.1545,75.3042,0.2995
1,7,6,75.361,75.5082,75.6554,0.2944
1,7,3,75.7085,75.8523,75.9962,0.2877
1,7,3,76.0488,76.207,76.3652,0.3164
1,7,2,76.4227,76.57,76.7172,0.2945
1,7,6,76.7594,76.9371,77.1148,0.3554
1,7,2,77.17,77.3196,77.4691,0.299
1,7,2,77.5179,77.6803,77.8426,0.3247
1,7,1,77.9002,78.0507,78.2012,0.301
1,7,4,78.2565,78.4096,78.5628,0.3063
1,7,1,78.621,78.7809,78.9407,0.3197
1,7,1,78.9968,79.1521,79.3075,0.3107
1,7,2,79.3644,79.518,79.6717,0.3073
1,7,2,79.7293,79.8768,80.0242,0.2948
1,7,6,80.0783,80.2313,80.3843,0.3059
1,7,1,80.4392,80.5794,80.7196,0.2804
1,7,2,80.7738,80.9306,81.0875,0.3137
1,7,6,81.1398,81.2821,81.4245,0.2847
1,7,6,81.4684,81.6228,81.7771,0.3087
1,7,6,81.8306,81.9723,82.1141,0.2835
1,7,5,82.1749,82.3129,82.4508,0.2759
1,7,5,82.5061,82.6571,82.8081,0.302
1,7,3,82.8646,83.0269,83.1892,0.3246
1,7,6,83.2422,83.3909,83.5396,0.2973
1,7,5,83.5924,83.7329,83.8733,0.2808
1,7,6,83.9257,84.0751,84.2244,0.2987
1,7,6,84.2714,84.4287,84.5861,0.3147
1,7,5,84.6475,84.7798,84.9122,0.2647
